Feature
X
XXY
XY
HLA-B27
HLA-B8
HLA-DR3
HLA-DR4
ADHR
APOB
APOC2
APOE
AR
ARMC5
BRAF
CBS
COL1A1
COL1A2
FBN1
FGFR3
GHR
GNAS
GPR101
IGF1
IGF1R
LDLR
LPL
MEN1
MEN2A
MEN2B
MTR
NF1
PDE11
PRKARIA
PTC
RET
SDHB
SDHC
SDHD
TP53
TSHR
TTN
VHL
